,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
William Borgen,United-States,SEA,25,D,36,2,6,8,28,1,15:17,14:24,0:02,0:50,2,0,0,0,0,6,0,0,1,0,8,0,0,1,0,0.0%,0.218,0.654,0.872,0.231,0.694,0.925,0.000,0.000,0.000,0.056,0.167,0.222,49,4.1%,89,33,0,0,0.00%
Jaycob Megna,United-States,SJS,29,D,44,2,6,8,16,-1,19:07,17:10,0:02,1:55,2,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0.0%,0.143,0.428,0.571,0.159,0.477,0.635,0.000,0.000,0.000,0.045,0.136,0.182,40,5.0%,71,92,0,0,0.00%
Michael Anderson,United-States,LAK,22,D,57,2,6,8,8,6,20:06,18:05,0:06,1:54,2,0,0,1,0,6,0,0,3,0,8,0,0,4,0,0.0%,0.105,0.314,0.419,0.116,0.349,0.465,0.000,0.000,0.000,0.035,0.105,0.140,58,3.5%,133,69,0,0,0.00%
Olli Määttä,Finland,LAK,27,D,66,1,7,8,10,17,18:16,16:23,0:07,1:46,1,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0.0%,0.050,0.348,0.398,0.055,0.388,0.444,0.000,0.000,0.000,0.015,0.106,0.121,61,1.6%,67,94,0,0,0.00%
Gavin Bayreuther,United-States,CBJ,27,D,43,0,8,8,22,0,13:03,12:34,0:02,0:26,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0.0%,0.000,0.855,0.855,0.000,0.887,0.887,0.000,0.000,0.000,0.000,0.186,0.186,44,0.0%,50,45,0,0,0.00%
Gabriel Vilardi,Canada,LAK,22,F,25,5,2,7,8,-5,13:30,11:41,1:47,0:02,3,2,0,1,0,2,0,0,0,0,5,2,0,1,0,28.6%,0.888,0.355,1.243,0.616,0.410,1.026,2.687,0.000,2.687,0.200,0.080,0.280,41,12.2%,6,9,60,71,45.80%
Joseph Snively,United-States,WSH,25,F,12,4,3,7,2,3,11:33,11:15,0:18,0:00,3,1,0,0,0,3,0,0,0,0,6,1,0,0,0,14.3%,1.731,1.298,3.028,1.333,1.333,2.666,16.514,0.000,16.514,0.333,0.250,0.583,21,19.1%,2,3,0,1,0.00%
Givani Smith,Canada,DET,23,F,46,4,3,7,108,-6,8:28,8:28,0:00,0:00,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0.0%,0.616,0.462,1.078,0.616,0.462,1.078,0.000,0.000,0.000,0.087,0.065,0.152,50,8.0%,86,20,1,1,50.00%
Tyler Johnson,United-States,CHI,31,F,26,3,4,7,12,-8,12:58,10:38,2:14,0:05,3,0,0,0,0,2,2,0,0,0,5,2,0,0,0,28.6%,0.534,0.711,1.245,0.651,0.434,1.085,0.000,2.052,2.052,0.115,0.154,0.269,30,10.0%,37,7,31,20,60.78%
Julien Gauthier,Canada,NYR,24,F,49,3,4,7,8,-9,10:18,9:53,0:25,0:00,3,0,0,1,0,4,0,0,2,0,7,0,0,3,0,0.0%,0.356,0.475,0.832,0.371,0.495,0.867,0.000,0.000,0.000,0.061,0.082,0.143,69,4.4%,98,14,1,2,33.33%
Dylan Gambrell,United-States,OTT,25,F,63,3,4,7,12,2,12:08,10:38,0:04,1:24,2,0,1,0,0,4,0,0,1,0,6,0,1,1,0,0.0%,0.235,0.314,0.549,0.179,0.358,0.537,0.000,0.000,0.000,0.048,0.063,0.111,58,5.2%,103,39,295,309,48.84%
Austin Czarnik,United-States,SEA,29,F,17,2,5,7,0,5,10:54,10:08,0:37,0:08,2,0,0,0,0,5,0,0,1,0,7,0,0,1,0,0.0%,0.648,1.619,2.267,0.696,1.740,2.436,0.000,0.000,0.000,0.118,0.294,0.412,14,14.3%,3,7,23,36,38.98%
Cole Perfetti,Canada,WPG,19,F,18,2,5,7,0,1,14:08,12:52,1:15,0:00,2,0,0,1,0,4,1,0,0,0,6,1,0,1,0,14.3%,0.471,1.178,1.649,0.518,1.035,1.553,0.000,2.639,2.639,0.111,0.278,0.389,21,9.5%,17,2,0,3,0.00%
Nolan Patrick,Canada,VGK,23,F,25,2,5,7,6,1,11:30,9:49,1:40,0:00,2,0,0,0,0,4,1,0,0,0,6,1,0,0,0,14.3%,0.417,1.043,1.460,0.488,0.977,1.465,0.000,1.440,1.440,0.080,0.200,0.280,34,5.9%,26,3,83,89,48.26%
Nicolas Meloche,Canada,SJS,24,D,50,2,5,7,39,-17,16:52,15:45,0:06,0:59,2,0,0,1,0,4,0,1,1,0,6,0,1,2,0,0.0%,0.142,0.356,0.498,0.152,0.305,0.457,0.000,0.000,0.000,0.040,0.100,0.140,36,5.6%,158,54,0,0,0.00%
Patrik Nemeth,Sweden,NYR,29,D,63,2,5,7,28,-9,16:38,15:00,0:03,1:34,2,0,0,1,0,5,0,0,0,0,7,0,0,1,0,0.0%,0.115,0.286,0.401,0.127,0.317,0.444,0.000,0.000,0.000,0.032,0.079,0.111,52,3.9%,115,102,0,0,0.00%
Joel Kiviranta,Finland,DAL,25,F,56,1,6,7,10,-6,9:31,9:27,0:00,0:03,1,0,0,0,0,6,0,0,1,0,7,0,0,1,0,0.0%,0.113,0.675,0.788,0.113,0.680,0.793,0.000,0.000,0.000,0.018,0.107,0.125,59,1.7%,97,23,0,3,0.00%
Victor Mete,Canada,OTT,23,D,37,0,7,7,4,-19,14:37,12:34,0:25,1:38,0,0,0,0,0,6,1,0,1,0,6,1,0,1,0,14.3%,0.000,0.776,0.776,0.000,0.774,0.774,0.000,3.859,3.859,0.000,0.189,0.189,27,0.0%,13,38,0,0,0.00%
Carter Rowney,Canada,DET,32,F,26,4,2,6,0,-4,10:40,10:17,0:01,0:21,4,0,0,0,0,1,0,1,1,0,5,0,1,1,0,0.0%,0.865,0.433,1.298,0.897,0.224,1.121,0.000,0.000,0.000,0.154,0.077,0.231,15,26.7%,36,20,74,91,44.85%
Alex Barre-Boulet,Canada,TBL,24,F,16,3,3,6,4,0,11:00,9:17,1:42,0:00,3,0,0,0,0,2,1,0,1,0,5,1,0,1,0,16.7%,1.023,1.023,2.045,1.211,0.807,2.018,0.000,2.194,2.194,0.188,0.188,0.375,16,18.8%,10,3,6,9,40.00%
Matt Luff,Canada,NSH,24,F,23,3,3,6,4,3,9:24,9:18,0:03,0:02,3,0,0,1,0,3,0,0,0,0,6,0,0,1,0,0.0%,0.832,0.832,1.664,0.841,0.841,1.683,0.000,0.000,0.000,0.130,0.130,0.261,26,11.5%,29,4,2,0,100.00%
Brett Leason,Canada,WSH,22,F,36,3,3,6,4,1,8:57,8:56,0:00,0:00,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0.0%,0.558,0.558,1.117,0.559,0.559,1.118,0.000,0.000,0.000,0.083,0.083,0.167,45,6.7%,16,14,3,5,37.50%
Radim Zohorna,Czech-Republic,PIT,25,F,17,2,4,6,4,12,10:19,9:48,0:30,0:00,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0.0%,0.684,1.367,2.051,0.719,1.439,2.158,0.000,0.000,0.000,0.118,0.235,0.353,9,22.2%,23,3,4,8,33.33%
Oskar Steen,Sweden,BOS,23,F,20,2,4,6,6,-1,11:04,10:34,0:13,0:16,2,0,0,0,0,4,0,0,1,0,6,0,0,1,0,0.0%,0.542,1.084,1.626,0.568,1.136,1.703,0.000,0.000,0.000,0.100,0.200,0.300,25,8.0%,32,8,1,5,16.67%
Jonas Røndbjerg,Denmark,VGK,22,F,30,2,4,6,4,0,10:00,9:30,0:00,0:29,2,0,0,0,0,4,0,0,2,0,6,0,0,2,0,0.0%,0.400,0.799,1.199,0.421,0.841,1.262,0.000,0.000,0.000,0.067,0.133,0.200,30,6.7%,13,11,0,2,0.00%
Jake Leschyshyn,Canada,VGK,22,F,41,2,4,6,8,-2,11:18,10:28,0:01,0:47,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0.0%,0.259,0.518,0.777,0.279,0.559,0.838,0.000,0.000,0.000,0.049,0.098,0.146,35,5.7%,45,23,122,143,46.04%
Matias Maccelli,Finland,ARI,21,F,23,1,5,6,4,-10,14:12,12:54,1:14,0:03,1,0,0,0,0,4,1,0,1,1,5,1,0,1,1,16.7%,0.184,0.919,1.102,0.202,0.809,1.011,0.000,2.109,2.109,0.043,0.217,0.261,21,4.8%,12,8,2,0,100.00%
Reese Johnson,Canada,CHI,23,F,37,1,5,6,16,-13,10:37,9:25,0:00,1:11,1,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0.0%,0.153,0.763,0.916,0.172,0.860,1.033,0.000,0.000,0.000,0.027,0.135,0.162,24,4.2%,141,14,107,105,50.47%
Ryan Merkley,Canada,SJS,21,D,39,1,5,6,8,-10,15:22,13:56,1:23,0:02,1,0,0,0,0,3,2,0,0,0,4,2,0,0,0,33.3%,0.100,0.500,0.600,0.110,0.331,0.441,0.000,2.211,2.211,0.026,0.128,0.154,36,2.8%,12,22,0,0,0.00%
Sami Niku,Finland,MTL,25,D,13,0,6,6,2,3,15:17,12:55,2:05,0:16,0,0,0,0,0,5,1,0,1,0,5,1,0,1,0,16.7%,0.000,1.812,1.812,0.000,1.786,1.786,0.000,2.202,2.202,0.000,0.462,0.462,14,0.0%,6,17,0,0,0.00%
Mitchell Stephens,Canada,DET,24,F,27,0,6,6,8,-8,11:10,9:46,0:00,1:24,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0.0%,0.000,1.193,1.193,0.000,1.364,1.364,0.000,0.000,0.000,0.000,0.222,0.222,17,0.0%,21,9,124,129,49.01%
Casey Fitzgerald,United-States,BUF,24,D,36,0,6,6,36,-19,16:52,15:35,0:03,1:07,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0.0%,0.000,0.593,0.593,0.000,0.641,0.641,0.000,0.000,0.000,0.000,0.167,0.167,41,0.0%,86,35,0,0,0.00%
Brendan Perlini,Canada,EDM,25,F,23,4,1,5,6,-2,8:22,8:15,0:06,0:00,4,0,0,0,0,1,0,0,1,0,5,0,0,1,0,0.0%,1.246,0.312,1.558,1.264,0.316,1.580,0.000,0.000,0.000,0.174,0.043,0.217,24,16.7%,29,3,0,1,0.00%
Jeffrey Truchon-Viel,Canada,SJS,24,F,34,3,2,5,114,-2,8:48,8:46,0:00,0:00,3,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0.0%,0.601,0.401,1.002,0.603,0.402,1.005,0.000,0.000,0.000,0.088,0.059,0.147,30,10.0%,84,11,4,8,33.33%
Drake Caggiula,Canada,BUF,27,F,18,2,3,5,4,-4,14:38,12:52,0:07,1:37,2,0,0,1,0,2,1,0,0,0,4,1,0,1,0,20.0%,0.455,0.683,1.139,0.518,0.518,1.035,0.000,25.352,25.352,0.111,0.167,0.278,23,8.7%,17,7,1,3,25.00%
Morgan Barron,Canada,WPG,23,F,27,2,3,5,8,-4,9:47,9:44,0:01,0:02,2,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0.0%,0.454,0.680,1.134,0.457,0.685,1.141,0.000,0.000,0.000,0.074,0.111,0.185,33,6.1%,49,8,30,24,55.56%
Greg McKegg,Canada,NYR,29,F,43,2,3,5,6,-11,10:52,9:37,0:02,1:11,2,0,0,0,0,2,0,1,0,0,4,0,1,0,0,0.0%,0.257,0.385,0.642,0.290,0.290,0.580,0.000,0.000,0.000,0.047,0.070,0.116,25,8.0%,50,22,72,88,45.00%
Ryan Ellis,Canada,PHI,30,D,4,1,4,5,0,2,22:48,18:44,1:39,2:24,1,0,0,0,0,2,2,0,0,0,3,2,0,0,0,40.0%,0.658,2.631,3.289,0.801,1.601,2.402,0.000,18.090,18.090,0.250,1.000,1.250,6,16.7%,1,6,0,0,0.00%
Mark Friedman,Canada,PIT,26,D,26,1,4,5,23,1,13:16,12:19,0:02,0:55,1,0,0,1,0,4,0,0,0,0,5,0,0,1,0,0.0%,0.174,0.695,0.869,0.187,0.749,0.936,0.000,0.000,0.000,0.038,0.154,0.192,27,3.7%,27,25,0,0,0.00%
Kyle Burroughs,Canada,VAN,26,D,42,1,4,5,39,-3,12:56,12:22,0:01,0:32,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0.0%,0.110,0.442,0.552,0.115,0.462,0.577,0.000,0.000,0.000,0.024,0.095,0.119,39,2.6%,122,59,0,0,0.00%
Thomas Bordeleau,United-States,SJS,19,F,8,0,5,5,0,-1,15:35,13:55,1:39,0:00,0,0,0,0,0,4,1,0,0,0,4,1,0,0,0,20.0%,0.000,2.405,2.405,0.000,2.154,2.154,0.000,4.511,4.511,0.000,0.625,0.625,13,0.0%,3,4,40,49,44.94%
Cam Dineen,United-States,ARI,23,D,34,0,7,7,4,-16,15:38,14:19,0:14,1:04,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0.0%,0.000,0.790,0.790,0.000,0.862,0.862,0.000,0.000,0.000,0.000,0.206,0.206,52,0.0%,22,44,0,0,0.00%
Michael Carcone,Canada,ARI,25,F,21,4,2,6,14,-8,12:18,12:01,0:16,0:00,4,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0.0%,0.928,0.464,1.392,0.950,0.475,1.425,0.000,0.000,0.000,0.190,0.095,0.286,36,11.1%,31,7,0,7,0.00%
Maxwell Willman,United-States,PHI,26,F,41,4,2,6,16,-13,11:46,11:20,0:01,0:23,4,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0.0%,0.497,0.249,0.746,0.516,0.258,0.774,0.000,0.000,0.000,0.098,0.049,0.146,65,6.2%,53,10,2,5,28.57%
Kevin Labanc,United-States,SJS,26,F,21,3,3,6,6,-4,13:17,11:24,1:53,0:00,1,2,0,1,0,1,2,0,1,1,2,4,0,2,1,66.7%,0.645,0.645,1.290,0.251,0.251,0.501,3.026,3.026,6.053,0.143,0.143,0.286,36,8.3%,28,9,0,1,0.00%
Joel Edmundson,Canada,MTL,28,D,24,3,3,6,35,-1,19:35,17:04,0:04,2:25,3,0,0,0,0,3,0,0,1,0,6,0,0,1,0,0.0%,0.383,0.383,0.766,0.439,0.439,0.879,0.000,0.000,0.000,0.125,0.125,0.250,32,9.4%,61,45,0,0,0.00%
Michael Stone,Canada,CGY,31,D,11,2,4,6,4,3,17:27,15:31,0:58,0:58,1,1,0,1,0,3,1,0,2,0,4,2,0,3,0,33.3%,0.625,1.250,1.875,0.351,1.054,1.406,5.643,5.643,11.285,0.182,0.364,0.545,24,8.3%,26,17,0,0,0.00%
Brett Murray,Canada,BUF,23,F,19,2,4,6,23,-3,12:57,12:22,0:34,0:00,2,0,0,0,0,3,1,0,0,0,5,1,0,0,0,16.7%,0.487,0.974,1.462,0.510,0.765,1.275,0.000,5.430,5.430,0.105,0.211,0.316,14,14.3%,17,2,0,0,0.00%
Corey Schueneman,United-States,MTL,26,D,24,2,4,6,8,-5,16:35,15:11,0:29,0:54,2,0,0,0,0,3,1,0,0,0,5,1,0,0,0,16.7%,0.301,0.602,0.904,0.329,0.493,0.822,0.000,5.070,5.070,0.083,0.167,0.250,30,6.7%,15,40,0,0,0.00%
Connor Dewar,Canada,MIN,22,F,35,2,4,6,25,-4,9:54,9:07,0:02,0:44,2,0,0,1,0,3,1,0,0,0,5,1,0,1,0,16.7%,0.346,0.692,1.038,0.376,0.563,0.939,0.000,40.909,40.909,0.057,0.114,0.171,44,4.6%,48,22,62,71,46.62%
Joel Hanley,Canada,DAL,30,D,44,2,4,6,4,-13,11:56,11:15,0:00,0:40,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0.0%,0.228,0.457,0.685,0.242,0.485,0.727,0.000,0.000,0.000,0.045,0.091,0.136,18,11.1%,60,43,0,0,0.00%
Buddy Robinson,United-States,ANA,30,F,32,1,5,6,19,2,9:14,8:39,0:00,0:34,1,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0.0%,0.203,1.014,1.217,0.217,1.083,1.299,0.000,0.000,0.000,0.031,0.156,0.188,38,2.6%,56,12,0,6,0.00%
Andrej Sustr,Czech-Republic,ANA,31,D,38,1,5,6,16,-4,14:43,13:38,0:00,1:04,1,0,0,0,0,5,0,0,1,0,6,0,0,1,0,0.0%,0.107,0.536,0.643,0.116,0.579,0.695,0.000,0.000,0.000,0.026,0.132,0.158,28,3.6%,27,36,0,0,0.00%
Robert Bortuzzo,Canada,STL,32,D,73,1,5,6,36,-4,13:44,11:36,0:00,2:07,1,0,0,0,0,5,0,0,1,0,6,0,0,1,0,0.0%,0.060,0.299,0.359,0.071,0.354,0.425,0.000,0.000,0.000,0.014,0.068,0.082,47,2.1%,135,98,0,0,0.00%
Scott Perunovich,United-States,STL,23,D,19,0,6,6,8,2,15:27,13:25,2:01,0:00,0,0,0,0,0,3,3,0,1,0,3,3,0,1,0,50.0%,0.000,1.226,1.226,0.000,0.705,0.705,0.000,4.673,4.673,0.000,0.316,0.316,14,0.0%,5,12,0,0,0.00%
Urho Vaakanainen,Finland,ANA,22,D,29,0,6,6,10,-5,19:19,17:31,0:20,1:27,0,0,0,0,0,5,1,0,1,1,5,1,0,1,1,16.7%,0.000,0.643,0.643,0.000,0.590,0.590,0.000,6.133,6.133,0.000,0.207,0.207,27,0.0%,27,28,0,0,0.00%
Josh Brown,Canada,BOS,27,D,52,0,6,6,37,-7,14:13,12:23,0:01,1:48,0,0,0,0,0,6,0,0,1,0,6,0,0,1,0,0.0%,0.000,0.487,0.487,0.000,0.559,0.559,0.000,0.000,0.000,0.000,0.115,0.115,45,0.0%,118,62,0,0,0.00%
Drew O'Connor,United-States,PIT,23,F,22,3,2,5,4,-1,10:17,9:18,0:53,0:04,3,0,0,0,0,2,0,0,1,0,5,0,0,1,0,0.0%,0.796,0.530,1.326,0.879,0.586,1.464,0.000,0.000,0.000,0.136,0.091,0.227,40,7.5%,12,7,18,34,34.62%
Jesse Ylönen,Finland,MTL,22,F,14,2,3,5,2,2,11:33,10:18,1:15,0:00,2,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0.0%,0.741,1.112,1.853,0.832,1.247,2.079,0.000,0.000,0.000,0.143,0.214,0.357,16,12.5%,5,4,0,0,0.00%
Mark Jankowski,Canada,BUF,27,F,19,2,3,5,4,2,13:38,11:36,0:04,1:57,2,0,0,1,0,3,0,0,1,0,5,0,0,2,0,0.0%,0.463,0.694,1.157,0.544,0.816,1.360,0.000,0.000,0.000,0.105,0.158,0.263,14,14.3%,5,8,86,93,48.04%
Colton Sceviour,Canada,EDM,32,F,35,2,3,5,26,-6,9:28,7:54,0:00,1:33,2,0,0,0,0,2,0,1,1,0,4,0,1,1,0,0.0%,0.362,0.543,0.905,0.433,0.433,0.866,0.000,0.000,0.000,0.057,0.086,0.143,38,5.3%,41,20,29,33,46.77%
Kurtis MacDermid,Canada,COL,27,D,58,2,3,5,89,1,7:23,7:18,0:00,0:05,2,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0.0%,0.280,0.419,0.699,0.283,0.424,0.707,0.000,0.000,0.000,0.034,0.052,0.086,46,4.4%,105,22,0,0,0.00%
Robin Salo,Finland,NYI,23,D,21,1,4,5,4,-6,16:41,15:09,1:29,0:02,1,0,0,0,0,2,2,0,2,0,3,2,0,2,0,40.0%,0.171,0.685,0.856,0.189,0.377,0.566,0.000,3.820,3.820,0.048,0.190,0.238,24,4.2%,7,23,0,0,0.00%
Tyler Pitlick,United-States,MTL,30,F,39,1,4,5,6,-11,10:56,10:22,0:02,0:31,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0.0%,0.141,0.562,0.703,0.148,0.594,0.742,0.000,0.000,0.000,0.026,0.103,0.128,36,2.8%,70,26,4,6,40.00%
Simon Benoit,Canada,ANA,23,D,53,1,4,5,22,-5,14:05,13:21,0:00,0:43,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0.0%,0.080,0.321,0.402,0.085,0.339,0.424,0.000,0.000,0.000,0.019,0.075,0.094,45,2.2%,168,39,0,0,0.00%
Dylan Samberg,United-States,WPG,22,D,15,0,5,5,4,3,14:51,14:05,0:01,0:43,0,0,0,0,0,5,0,0,2,0,5,0,0,2,0,0.0%,0.000,1.346,1.346,0.000,1.419,1.419,0.000,0.000,0.000,0.000,0.333,0.333,14,0.0%,21,19,0,0,0.00%
William Lagesson,Sweden,MTL,25,D,33,0,5,5,13,3,12:34,11:39,0:01,0:54,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0.0%,0.000,0.723,0.723,0.000,0.780,0.780,0.000,0.000,0.000,0.000,0.152,0.152,33,0.0%,40,20,0,0,0.00%
Brett Ritchie,Canada,CGY,28,F,41,3,1,4,29,-6,9:43,9:39,0:03,0:00,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0.0%,0.452,0.151,0.602,0.454,0.151,0.606,0.000,0.000,0.000,0.073,0.024,0.098,55,5.5%,78,5,1,3,25.00%
Nathan Smith,United-States,ARI,23,F,10,2,2,4,2,-1,14:09,12:26,1:38,0:04,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0.0%,0.848,0.848,1.696,0.965,0.965,1.930,0.000,0.000,0.000,0.200,0.200,0.400,14,14.3%,26,6,38,58,39.58%
Ronnie Attard,United-States,PHI,22,D,15,2,2,4,8,-2,16:35,14:35,0:54,1:06,2,0,0,0,0,2,0,0,1,0,4,0,0,1,0,0.0%,0.482,0.482,0.964,0.548,0.548,1.096,0.000,0.000,0.000,0.133,0.133,0.267,16,12.5%,24,17,0,0,0.00%
Arttu Ruotsalainen,Finland,BUF,24,F,18,2,2,4,6,-1,11:53,10:38,0:48,0:26,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0.0%,0.561,0.561,1.121,0.627,0.627,1.253,0.000,0.000,0.000,0.111,0.111,0.222,23,8.7%,14,6,51,69,42.50%
Justin Dowling,Canada,VAN,31,F,22,2,2,4,2,-3,9:35,8:51,0:23,0:20,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0.0%,0.568,0.568,1.137,0.616,0.616,1.232,0.000,0.000,0.000,0.091,0.091,0.182,17,11.8%,10,9,21,19,52.50%
Marian Studenic,Slovakia,DAL,23,F,33,2,2,4,6,-7,11:08,10:27,0:09,0:31,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0.0%,0.326,0.326,0.652,0.347,0.347,0.695,0.000,0.000,0.000,0.061,0.061,0.121,42,4.8%,25,15,1,3,25.00%
John Hayden,United-States,BUF,26,F,55,2,2,4,84,-12,10:51,10:12,0:02,0:34,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0.0%,0.201,0.201,0.402,0.214,0.214,0.427,0.000,0.000,0.000,0.036,0.036,0.073,65,3.1%,104,24,2,7,22.22%
Taro Hirose,Canada,DET,25,F,15,1,3,4,4,-5,10:39,9:01,1:38,0:00,0,1,0,0,0,2,1,0,0,0,2,2,0,0,0,50.0%,0.375,1.126,1.501,0.000,0.887,0.887,2.437,2.437,4.875,0.067,0.200,0.267,10,10.0%,9,2,1,1,50.00%
Kevin Bahl,Canada,NJD,21,D,17,1,3,4,10,-6,15:44,14:39,0:04,1:00,1,0,0,0,0,3,0,0,1,0,4,0,0,1,0,0.0%,0.224,0.672,0.897,0.241,0.722,0.963,0.000,0.000,0.000,0.059,0.176,0.235,16,6.3%,28,15,0,0,0.00%
Kyle Clifford,Canada,TOR,30,F,25,1,3,4,31,-5,8:47,8:36,0:00,0:10,1,0,0,0,0,3,0,0,2,0,4,0,0,2,0,0.0%,0.273,0.818,1.091,0.279,0.837,1.116,0.000,0.000,0.000,0.040,0.120,0.160,29,3.5%,50,5,3,4,42.86%
Philippe Myers,Canada,NSH,24,D,27,1,3,4,12,5,14:52,13:51,0:01,0:59,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0.0%,0.149,0.448,0.597,0.160,0.481,0.641,0.000,0.000,0.000,0.037,0.111,0.148,28,3.6%,50,17,0,0,0.00%
Thomas Harley,Canada,DAL,20,D,34,1,3,4,6,-4,13:41,13:39,0:01,0:00,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0.0%,0.129,0.387,0.516,0.129,0.388,0.517,0.000,0.000,0.000,0.029,0.088,0.118,36,2.8%,30,30,0,0,0.00%
Bobby Brink,United-States,PHI,20,F,10,0,4,4,0,-5,15:26,12:25,3:01,0:00,0,0,0,0,0,3,1,0,0,0,3,1,0,0,0,25.0%,0.000,1.554,1.554,0.000,1.449,1.449,0.000,1.980,1.980,0.000,0.400,0.400,18,0.0%,15,2,3,1,75.00%
Samuel Blais,Canada,NYR,25,F,14,0,4,4,17,3,13:27,12:18,1:09,0:00,0,0,0,0,0,4,0,0,2,0,4,0,0,2,0,0.0%,0.000,1.274,1.274,0.000,1.393,1.393,0.000,0.000,0.000,0.000,0.286,0.286,17,0.0%,37,8,2,3,40.00%
Nathan Beaulieu,Canada,WPG,29,D,24,0,4,4,25,-7,10:46,8:47,0:02,1:56,0,0,0,0,0,3,0,1,0,0,3,0,1,0,0,0.0%,0.000,0.928,0.928,0.000,0.854,0.854,0.000,0.000,0.000,0.000,0.167,0.167,24,0.0%,19,19,0,0,0.00%
Ryan Murray,Canada,COL,28,D,37,0,4,4,2,-3,14:05,12:58,0:01,1:04,0,0,0,0,0,3,0,1,1,0,3,0,1,1,0,0.0%,0.000,0.460,0.460,0.000,0.375,0.375,0.000,0.000,0.000,0.000,0.108,0.108,26,0.0%,32,41,0,0,0.00%
Frederik Andersen,Denmark,CAR,32,G,52,0,4,4,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.077,0.077,,,,,,,
Marc McLaughlin,United-States,BOS,22,F,11,3,0,3,8,-1,10:29,10:19,0:09,0:00,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0%,1.560,0.000,1.560,1.585,0.000,1.585,0.000,0.000,0.000,0.273,0.000,0.273,12,25.0%,15,2,5,10,33.33%
Owen Power,Canada,BUF,19,D,8,2,1,3,2,3,22:05,18:35,0:57,2:32,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0.0%,0.679,0.340,1.019,0.807,0.404,1.211,0.000,0.000,0.000,0.250,0.125,0.375,10,20.0%,1,9,0,0,0.00%
Jack McBain,Canada,ARI,21,F,10,2,1,3,6,-6,14:10,11:37,0:34,1:58,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0.0%,0.847,0.423,1.270,1.032,0.516,1.549,0.000,0.000,0.000,0.200,0.100,0.300,13,15.4%,33,9,35,68,33.98%
Jan Jenik,Czech-Republic,ARI,21,F,13,2,1,3,11,-6,10:41,10:07,0:33,0:01,2,0,0,1,0,1,0,0,0,0,3,0,0,1,0,0.0%,0.863,0.431,1.294,0.912,0.456,1.368,0.000,0.000,0.000,0.154,0.077,0.231,22,9.1%,25,4,8,11,42.11%
Liam O'Brien,Canada,ARI,27,F,39,2,1,3,106,1,9:28,9:19,0:05,0:03,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0.0%,0.325,0.162,0.487,0.330,0.165,0.495,0.000,0.000,0.000,0.051,0.026,0.077,36,5.6%,139,10,5,5,50.00%
Hayden Hodgson,Canada,PHI,25,F,6,1,2,3,11,-1,13:12,12:39,0:32,0:00,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.758,1.515,2.273,0.790,1.581,2.371,0.000,0.000,0.000,0.167,0.333,0.500,10,10.0%,12,2,1,1,50.00%
